age;ori;div;O.isotop;C.isotop;Sr.isotop;S.isotop;sea.level
490;2.0016;302.5;-7.8544;-0.1274;0.7091;35.4133;70.2712
479;1.532;322.5;-8.9035;-1.0665;0.709;30.8968;82.8394
468;0.8363;347.5;-7.2834;-1.1097;0.7088;26.5625;81.732
457;0.551;367.5;-5.2787;-0.1255;0.7084;24.5323;97.5187
446;0.4575;400;-4.4934;1.5584;0.708;26.4875;74.5174
435;0.8037;395;-4.7433;1.5989;0.7084;27.4111;83.4242
424;0.6032;405;-4.816;2.3567;0.7087;26.9733;86.1456
413;0.6581;450;-5.2874;2.6132;0.7088;25.5;68.8736
402;0.5114;507.5;-5.7439;1.0881;0.7086;20.9823;62.2057
391;0.3821;477.5;-5.5145;0.8168;0.7082;18.4129;74.7803
380;0.2836;375;-5.4565;0.8094;0.7079;19.7387;76.8246
369;0.6479;355;-5.6469;1.0713;0.7081;22.9754;64.1339
358;0.7443;390;-4.1096;2.2906;0.7082;21.6596;53.7484
347;0.4911;385;-4.1127;3.0298;0.7078;17.1781;53.1061
336;0.3047;330;-3.8148;2.6552;0.7078;14.5905;38.5985
325;0.2736;307.5;-3.6043;3.9021;0.7082;15.1476;28.5985
314;0.4123;297.5;-2.6651;4.4012;0.7083;13.8707;19.2803
303;0.1991;290;-2.4748;3.9624;0.7081;12.2952;41.9697
292;0.419;375;-3.4291;3.9187;0.7077;12.5;33.4069
281;0.4853;502.5;-4.5866;3.1951;0.7077;12.9736;32.4146
270;0.4177;535;-4.4977;3.9494;0.7075;13.1302;31.9539
259;0.4385;422.5;-4.555;3.83;0.7074;15.45;8.0772
248;0.7669;335;-3.817;2.0839;0.7079;19.9174;7.138
237;0.7974;372.5;-3.1406;1.767;0.7078;21.4739;18.8597
226;0.617;387.5;-2.572;2.792;0.7077;19.16;29.1873
215;0.4132;325;-1.7874;2.709;0.7078;18.4814;34.5382
204;0.4179;271;-1.6049;1.7554;0.7079;16.4797;16.8224
193;0.6056;288.5;-1.47;1.6042;0.7076;15.9907;10.4033
182;0.226;352.5;-1.6533;1.8367;0.7072;18.1186;27.6006
171;0.587;435;-0.03;1.81;0.7073;19;33.1915
160;0.4595;437.5;-0.4628;1.8756;0.707;16.793;38.6554
149;0.2742;407.5;-1.04;1.6793;0.7072;15.3296;48.4533
138;0.5511;440;-0.2641;0.8367;0.7074;16.7225;38.9643
127;0.3773;490;-0.6946;0.9835;0.7074;16.4878;46.9619
116;0.4034;535;-0.98;1.6288;0.7073;15.336;47.455
105;0.3658;540;-1.3082;2.6984;0.7074;14.5;49.7767
94;0.3147;595;-2.7778;1.3332;0.7074;16.59;67.3721
83;0.3296;610;-1.726;1.5036;0.7075;17.9;61.8653
72;0.2461;555;-1.3245;1.6296;0.7078;18.3551;56.8777
61;0.7747;557.5;-1.1082;2.1929;0.7079;18.1882;66.1895
50;0.3305;566.5;-0.6075;2.6273;0.7078;18.9667;71.2126
39;0.2062;571.5;-0.0704;1.6927;0.7078;21.8392;56.0559
28;0.2702;567.5;-0.1869;1.5018;0.7081;22;50.5386
17;0.2543;600;0.0384;2.0508;0.7087;22.156;45.7793
